翠湖天地御苑 ,4室2厅,280.77平米,4100万,116人关注,共143次带看,huangpu
明珠家园(黄浦) ,3室2厅,127.3平米,1170万,91人关注,共138次带看,huangpu
耀江花园 ,2室2厅,103.4平米,1250万,76人关注,共138次带看,huangpu
翠湖天地嘉苑 ,4室2厅,325.73平米,5200万,40人关注,共136次带看,huangpu
海华花园 ,3室2厅,115.22平米,890万,119人关注,共132次带看,huangpu
中福花苑 ,3室2厅,68.33平米,690万,516人关注,共131次带看,huangpu
汇龙新城 ,3室2厅,143.69平米,1460万,78人关注,共126次带看,huangpu
中福花苑 ,1室1厅,42.46平米,410万,133人关注,共122次带看,huangpu
融创滨江壹号院 ,2室2厅,172.95平米,1750万,105人关注,共121次带看,huangpu
大同花园南区 ,3室2厅,153.74平米,1300万,47人关注,共121次带看,huangpu
华润外滩九里 ,2室2厅,166.4平米,1950万,96人关注,共116次带看,huangpu
弘辉名苑 ,3室2厅,124.1平米,1150万,108人关注,共116次带看,huangpu
中福花苑 ,1室2厅,42.46平米,440万,54人关注,共108次带看,huangpu
陆家浜大楼 ,2室1厅,71.32平米,600万,105人关注,共108次带看,huangpu
复地雅园 ,2室2厅,102.88平米,1150万,42人关注,共108次带看,huangpu
翠湖天地御苑 ,2室2厅,190.8平米,2998万,104人关注,共107次带看,huangpu
凯德茂名公馆 ,5室2厅,351平米,6300万,85人关注,共105次带看,huangpu
开元坊 ,4室2厅,173.32平米,1750万,40人关注,共102次带看,huangpu
上海滩新昌城 ,2室2厅,91.5平米,1050万,116人关注,共101次带看,huangpu
重庆公寓 ,2室1厅,58.01平米,630万,141人关注,共98次带看,huangpu
南园小区 ,1室1厅,45平米,350万,25人关注,共96次带看,huangpu
马当小区 ,2室1厅,62平米,620万,33人关注,共95次带看,huangpu
